,VaR_95%,VaR_99%,Risk Level,Max Loss 95% (%),Max Loss 99% (%)
PLTR,-0.0685,-0.0989,🔴 Very High Risk,-6.85%,-9.89%
META,-0.0505,-0.0715,🔴 Very High Risk,-5.05%,-7.15%
EL,-0.046,-0.0647,🟠 High Risk,-4.6%,-6.47%
ULTA,-0.0343,-0.0495,🟠 High Risk,-3.43%,-4.95%
HLI,-0.0277,-0.0397,🟡 Medium Risk,-2.77%,-3.97%
AAPL,-0.0277,-0.0391,🟡 Medium Risk,-2.77%,-3.91%
XOM,-0.0273,-0.0379,🟡 Medium Risk,-2.73%,-3.79%
GS,-0.0269,-0.0386,🟡 Medium Risk,-2.69%,-3.86%
CVX,-0.0257,-0.0382,🟡 Medium Risk,-2.57%,-3.82%
UNH,-0.0253,-0.035,🟡 Medium Risk,-2.53%,-3.5%
JPM,-0.0248,-0.035,🟡 Medium Risk,-2.48%,-3.5%
MRK,-0.0203,-0.0289,🟡 Medium Risk,-2.03%,-2.89%
MCD,-0.018,-0.0254,🟢 Low Risk,-1.8%,-2.54%
JNJ,-0.0173,-0.0247,🟢 Low Risk,-1.73%,-2.47%
KO,-0.016,-0.0225,🟢 Low Risk,-1.6%,-2.25%
