,VaR_95%,VaR_99%,Risk Level,Max Loss 95% (%),Max Loss 99% (%)
PLTR,-0.0685,-0.0977,🔴 Very High Risk,-6.85%,-9.77%
META,-0.0505,-0.0717,🔴 Very High Risk,-5.05%,-7.17%
EL,-0.0468,-0.0653,🟠 High Risk,-4.68%,-6.53%
ULTA,-0.0345,-0.0488,🟠 High Risk,-3.45%,-4.88%
AAPL,-0.0276,-0.0392,🟡 Medium Risk,-2.76%,-3.92%
HLI,-0.0275,-0.0393,🟡 Medium Risk,-2.75%,-3.93%
XOM,-0.0274,-0.0391,🟡 Medium Risk,-2.74%,-3.91%
GS,-0.0268,-0.0381,🟡 Medium Risk,-2.68%,-3.81%
CVX,-0.0263,-0.0374,🟡 Medium Risk,-2.63%,-3.74%
UNH,-0.0253,-0.0358,🟡 Medium Risk,-2.53%,-3.58%
JPM,-0.0252,-0.0359,🟡 Medium Risk,-2.52%,-3.59%
MRK,-0.0204,-0.029,🟡 Medium Risk,-2.04%,-2.9%
MCD,-0.0178,-0.0253,🟢 Low Risk,-1.78%,-2.53%
JNJ,-0.017,-0.0241,🟢 Low Risk,-1.7%,-2.41%
KO,-0.016,-0.0228,🟢 Low Risk,-1.6%,-2.28%
