,Historical_95%,Parametric_95%,MonteCarlo_95%,Historical_99%,Parametric_99%,MonteCarlo_99%,Most_Conservative
AAPL,-0.0276,-0.0276,-0.0277,-0.0456,-0.0392,-0.0391,MonteCarlo_95%
CVX,-0.0261,-0.0263,-0.0257,-0.0469,-0.0374,-0.0382,Parametric_95%
EL,-0.0376,-0.0468,-0.046,-0.0631,-0.0653,-0.0647,Parametric_95%
GS,-0.0241,-0.0268,-0.0269,-0.0433,-0.0381,-0.0386,MonteCarlo_95%
HLI,-0.0263,-0.0275,-0.0277,-0.0405,-0.0393,-0.0397,MonteCarlo_95%
JNJ,-0.016,-0.017,-0.0173,-0.0256,-0.0241,-0.0247,MonteCarlo_95%
JPM,-0.0251,-0.0252,-0.0248,-0.0438,-0.0359,-0.035,Parametric_95%
KO,-0.0153,-0.016,-0.016,-0.0251,-0.0228,-0.0225,Parametric_95%
MCD,-0.0169,-0.0178,-0.018,-0.0299,-0.0253,-0.0254,MonteCarlo_95%
META,-0.0421,-0.0505,-0.0505,-0.0702,-0.0717,-0.0715,Parametric_95%
MRK,-0.0187,-0.0204,-0.0203,-0.0302,-0.029,-0.0289,Parametric_95%
PLTR,-0.0635,-0.0685,-0.0685,-0.0871,-0.0977,-0.0989,Parametric_95%
ULTA,-0.0325,-0.0345,-0.0343,-0.0472,-0.0488,-0.0495,Parametric_95%
UNH,-0.0242,-0.0253,-0.0253,-0.0435,-0.0358,-0.035,Parametric_95%
XOM,-0.028,-0.0274,-0.0273,-0.0444,-0.0391,-0.0379,Historical_95%
